gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name
ENSG00000157152.17,50.1832642293354,-3.569618779580143,0.43865228040542426,-8.137695708046756,4.028718384654438e-16,6.137081005956927e-14,SYN2
ENSG00000100626.17,538.192279424012,1.0449616381298172,0.12846555943377033,8.134177305852475,4.147451625542952e-16,6.263012602537296e-14,GALNT16
ENSG00000179820.16,4560.796779361362,-1.4962151152430374,0.18450210375121506,-8.109474552444954,5.08391257299776e-16,7.610967736437853e-14,MYADM
ENSG00000013293.6,256.7424899391333,2.8838212202861575,0.35598972639408677,8.100855183370426,5.457418364596364e-16,8.100301480306022e-14,SLC7A14
ENSG00000115419.14,3980.445505648725,-1.187245180147682,0.14733720806878914,-8.05801328604909,7.754439246370042e-16,1.141216880953069e-13,GLS
ENSG00000246430.9,2733.095596503591,-1.9639632749148772,0.24434699865096526,-8.037599339291573,9.161561877320363e-16,1.3369721307692892e-13,LINC00968
ENSG00000130066.17,3781.6373590564126,-1.3184447584348273,0.16423990539039315,-8.027554298091717,9.943496481892035e-16,1.4389896658711423e-13,SAT1
ENSG00000146250.7,311.5584232541903,2.72583993210067,0.3410534032356335,7.992413816253256,1.3232201106634772e-15,1.8990942513869375e-13,PRSS35
ENSG00000077254.14,2731.57092103622,-0.8977204745296563,0.11239558698317571,-7.987150551240365,1.3809340921360363e-15,1.9656804462323284e-13,USP33
ENSG00000231246.3,58.41768868699961,-3.130460040862921,0.39238336029672183,-7.978065222989208,1.4864484718782843e-15,2.098671883141324e-13,LINC02884
ENSG00000145685.14,2010.0203399919228,1.2409152721969339,0.15609636050035464,7.949674599838699,1.8700205177492705e-15,2.6189335734865996e-13,LHFPL2
ENSG00000198795.11,942.1779673867702,0.989542933789392,0.12463423139476854,7.939575850996323,2.028737961500343e-15,2.8184850751531967e-13,ZNF521
ENSG00000127824.15,225.7108100876104,1.5575912256488735,0.1969886450572839,7.9070101994758595,2.6364403203659347e-15,3.633684333609113e-13,TUBA4A
ENSG00000100784.12,106.7995807488677,2.2696520431736436,0.28769619470884633,7.8890582667267175,3.0447535088701727e-15,4.1634007429164897e-13,RPS6KA5
ENSG00000138316.11,796.8108770323383,2.404868442113135,0.30514646846328314,7.8810299008998745,3.246935901253244e-15,4.3977205460514113e-13,ADAMTS14
ENSG00000173068.19,2773.4051935176867,0.868990927938559,0.11027426786198473,7.880269302954308,3.266762354259081e-15,4.3977205460514113e-13,BNC2
ENSG00000149218.5,2025.7049541992596,-1.9650920426822815,0.24978874542153606,-7.8670159432765905,3.632003718394776e-15,4.851798197972591e-13,ENDOD1
ENSG00000157510.14,503.5330751277615,-1.7129350015652325,0.21808194333711203,-7.854547585892382,4.0121772603694805e-15,5.318738191112701e-13,AFAP1L1
ENSG00000170214.5,228.1832458497629,-3.705293354117028,0.4719502671209189,-7.851025017362032,4.126506285631011e-15,5.428856678505163e-13,ADRA1B
ENSG00000135362.14,110.95263305935637,-1.538387158668749,0.1977423115985773,-7.779757130541288,7.266391195901085e-15,9.48783079007656e-13,PRR5L
ENSG00000087116.17,4527.354154065412,-0.705784084941466,0.09079920532258326,-7.773020506446282,7.663632888089325e-15,9.931839457802927e-13,ADAMTS2
ENSG00000176771.18,107.3561567586433,2.2114415933671765,0.284627012224174,7.769612504752118,7.872659124192205e-15,1.0127155433386802e-12,NCKAP5
ENSG00000198431.18,22630.089957351203,-1.5497547356938441,0.19965505304642095,-7.7621613480201646,8.349408840114831e-15,1.0661458376281923e-12,TXNRD1
ENSG00000136877.15,1040.915556118561,-0.6419866295539405,0.08304819665915766,-7.7302898242179845,1.0730200932672906e-14,1.3601508715094722e-12,FPGS
ENSG00000143891.17,524.348554723136,1.1077156753887922,0.14426021542446735,7.678594352084389,1.6084367114804952e-14,2.0240660819978462e-12,GALM
